id,title,sector_name,administrative_level,estimated_cost,investment_status,project_status,category,sub_sector
1017,"1) Amélioration des conditions de travail des élèves et enseignants à travers la construction d’un module de trois de classe + bureau et magasin, Équipement et/ou acquisitions diverses  à l'EPP Kompa",Autre,BANIZOUMBOU,5000000,p,N,Education,Bureau d'école primaire
1027,"1) Amélioration des conditions de travail des élèves et enseignants à travers la construction d’un module de trois de classe + bureau et magasin, Équipement et/ou acquisitions diverses  pour l’EPP Chagarana",Autre,DANGAZORI,5000000,p,N,Education,Bureau d'école primaire
1186,1-Amélioration des revenus des communautés à travers le réaménagement de l’embarcadère de Zongo et celui de Fada,Autre,MADÉCALI-ZONGO,5000000,p,N,Infrastructure marchande,Hangar de marché
2710,1-Amenagement la piste Marché Badjoudè- Bissetou-marché d'Anoum et contruire toutes  les infrastructures de franchissement nécessaires,Autre,BISSÉTOUGOU,5000000,p,N,Infrastructure marchande,Hangar de marché
2715,"1-Amenager la piste de déserte rurale reliant le marché de Badjoudè, Kakpala et Pamou et réaliser  tous les ouvrages  de franchissement facilitant l'accès des agriculteurs de Kakpala à leur fermes situées à Pamou",Autre,KAKPALA,5000000,p,N,Infrastructure marchande,Hangar de marché
1201,1-Augmenter le périmètre de l’aire de pâturage réservée aux éleveurs et y faire des forages avec abreuvoirs,Autre,KASSA,5000000,p,N,Accès à l'eau,Forage + abreuvoir
2705,"1- construction des pistes reliant Goufanrou Yakabissi , Hongon",Autre,HONGON,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2324,1)  Construction d'un forage,Autre,WONKO DE NIKKI,5000000,p,N,Accès à l'eau,Forage simple
2442,"1)   Extension du réseau de l'AEV de Dôh pour desservir Dôh, Konkou, Kpankpannin et Dôh-Gando",Autre,DÔH,5000000,p,N,Accès à l'eau,Adduction d'eau villageoise (AEV)
1196,1- Réalisation d'une retenue d'eau pour abreuver les animaux,Autre,GODJÉKOARA,5000000,p,N,Production animale,Alimentation
1206,1- Réaliser une Adduction d’Eau Villageoise (AEV) avec bornes fontaines,Autre,KOUALÉROU,5000000,p,N,Accès à l'eau,Adduction d'eau villageoise (AEV)
1519,"1 ) Réalistion des forages dans chacune des localités de: 1 à Yètèrè, 1 à Moundonro, 1 à Papatia, 1 à Barikayérou, 1 à Béya,Daoura, 1 à Sobourarou Gah et 1 à bakouré",Autre,SAYAKROU – GAH,5000000,p,N,Accès à l'eau,Forage simple
1988,1) Traçagedesvonsdanslequartier,Autre,GANDO-GOUROU,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2387,2,Autre,MAMASSY-PEULH,5000000,p,N,Autre,Autre
1989,2) Acquisition et installation de 30 lampadaires solaires photovoltaïques,Électrification rurale hors réseau,GANDO-GOUROU,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
1197,2- Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement,Autre,GODJÉKOARA,5000000,p,N,Accès à l'eau,Forage + abreuvoir
1028,2) Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement à Soumè-Tounga au profit du village de Dangazori,Autre,DANGAZORI,5000000,p,N,Accès à l'eau,Forage + abreuvoir
1023,2) Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement au profit du village de Goungoun-Béri,Autre,GOUNGOU-BÉRI,5000000,p,N,Accès à l'eau,Forage + abreuvoir
1018,2) Amélioration de l'accès à l'eau potable à travers la réhabilitation des bornes fontaines de Banizoumbou/ réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement à Banizoumbou,Autre,BANIZOUMBOU,5000000,p,N,Accès à l'eau,Forage + abreuvoir
7,2) Aménagement de la route et Construction d’un ouvrage de franchissement  sur la voie Anandana –Koubokouboré- Koukoulbendi -Chabi Kouma,Autre,KOUBOKOUBORÈ,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
22,"2) Aménagement de la route et Construction d’un ouvrage de franchissement sur la voie Pargoutè-Kèkouprè, Pargoutè-Sonafel",Autre,PARGOUTÈ,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
17,2) Aménagement de la route strèbi-N’dam-Gninékoué-Sola,Autre,N’DAM,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2325,2)  Construction de la route Wonko-Nikki,Autre,WONKO DE NIKKI,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2706,2- Electrification du village à travers l'installation des l'ampadaires solaire dans le village,Éclairage public solaire,HONGON,5000000,p,N,Énergie et éclairage,Éclairage public solaire
